127.0.0.1, 2015-04-05 19:53:26, GET, /, HTTP/1.1, 303, 0.000956
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/default/index, HTTP/1.1, 200, 1.033585
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000595
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000307
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002919
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000304
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2015-04-05 19:53:27, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000497
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000426
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000375
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000717
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000698
127.0.0.1, 2015-04-05 19:53:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000385
127.0.0.1, 2015-04-05 20:01:37, GET, /critico, HTTP/1.1, 500, 1.754163
127.0.0.1, 2015-04-05 20:01:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2015-04-05 20:01:40, GET, /admin/default/ticket/critico/127.0.0.1.2015-04-05.20-01-35.7dab74d3-e76f-46a0-a0b1-cf11ae03d2d2, HTTP/1.1, 303, 0.112052
